Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
1,Bitcoin,BTC,"$424,537,010,234","$22,855.12","18,575,137 BTC","$37,233,162,746",-0.51%,-0.09%,24.54%,
2,Ethereum,ETH,"$73,997,694,189",$649.71,"113,893,642 ETH","$14,714,259,187",-0.30%,1.13%,16.22%,
3,XRP,XRP,"$25,943,280,709",$0.571387,"45,404,028,640 XRP *","$12,894,607,835",0.10%,-2.65%,7.39%,
4,Tether,USDT,"$20,124,832,494",$1.00,"20,110,339,262 USDT *","$61,704,683,318",0.00%,0.09%,-0.02%,
5,Litecoin,LTC,"$7,075,055,534",$107.00,"66,120,198 LTC","$8,623,855,838",0.59%,-0.74%,41.90%,
6,Bitcoin Cash,BCH,"$5,853,961,570",$314.71,"18,600,863 BCH","$3,514,893,224",-0.14%,0.35%,17.64%,
7,Chainlink,LINK,"$5,424,479,475",$13.65,"397,509,556 LINK *","$1,220,295,253",-0.26%,0.46%,11.92%,
8,Cardano,ADA,"$5,175,250,170",$0.166340,"31,112,484,646 ADA","$867,986,255",0.11%,0.44%,13.50%,
9,Polkadot,DOT,"$4,831,410,423",$5.42,"891,666,343 DOT *","$513,759,154",-0.29%,2.05%,13.28%,
10,Binance Coin,BNB,"$4,652,669,110",$32.22,"144,406,561 BNB *","$405,206,396",-0.20%,6.04%,15.29%,
11,Stellar,XLM,"$3,973,036,641",$0.181940,"21,837,110,830 XLM *","$566,138,043",-0.45%,-1.07%,12.98%,
12,USD Coin,USDC,"$3,332,282,110",$1.00,"3,332,272,237 USDC *","$755,130,898",0.01%,0.01%,0.00%,
13,Bitcoin SV,BSV,"$3,301,549,508",$177.49,"18,601,445 BSV","$498,444,738",0.12%,-1.51%,7.13%,
14,EOS,EOS,"$2,883,174,666",$3.07,"938,730,954 EOS *","$1,994,428,288",-0.02%,0.56%,11.11%,
15,Monero,XMR,"$2,783,283,103",$156.46,"17,789,618 XMR","$1,450,996,605",-0.15%,-0.61%,5.69%,
16,NEM,XEM,"$2,757,845,127",$0.306427,"8,999,999,999 XEM *","$267,023,554",-0.22%,12.45%,30.04%,
17,Wrapped Bitcoin,WBTC,"$2,645,234,290","$22,860.71","115,711 WBTC *","$224,004,450",-0.40%,-0.05%,24.60%,
18,TRON,TRX,"$2,235,072,339",$0.031190,"71,659,657,369 TRX *","$719,187,417",0.02%,1.30%,9.23%,
19,Tezos,XTZ,"$1,755,324,373",$2.33,"753,907,502 XTZ *","$147,813,264",0.18%,1.02%,8.53%,
20,Crypto.com Coin,CRO,"$1,459,606,766",$0.065624,"22,242,009,131 CRO *","$47,487,514",-0.78%,-1.66%,11.17%,
21,UNUS SED LEO,LEO,"$1,358,583,149",$1.36,"999,498,893 LEO *","$8,536,227",-0.02%,0.20%,-0.33%,
22,Filecoin,FIL,"$1,273,914,170",$28.57,"44,584,205 FIL","$194,378,465",-0.59%,-0.62%,-5.37%,
23,Neo,NEO,"$1,274,221,781",$18.06,"70,538,831 NEO *","$446,637,784",0.08%,1.68%,9.52%,
24,Dai,DAI,"$1,131,021,390",$1.00,"1,129,164,763 DAI *","$153,285,882",-0.04%,0.00%,-0.23%,
25,Cosmos,ATOM,"$1,124,737,638",$5.42,"207,465,996 ATOM *","$212,829,177",0.55%,1.42%,12.04%,
26,VeChain,VET,"$1,120,665,155",$0.017424,"64,315,576,989 VET *","$131,930,202",0.74%,1.33%,8.65%,
27,Aave,AAVE,"$1,089,412,035",$90.83,"11,993,361 AAVE *","$290,349,991",0.73%,8.54%,14.96%,
28,Uniswap,UNI,"$1,055,563,479",$4.11,"256,903,325 UNI *","$812,408,141",0.68%,12.52%,30.72%,
29,Dash,DASH,"$1,047,997,327",$106.15,"9,873,155 DASH","$732,113,990",-0.38%,-3.62%,9.96%,
30,Revain,REV,"$968,177,280",$0.011666,"82,989,550,407 REV *","$6,994,255",0.03%,0.09%,0.05%,
31,THETA,THETA,"$917,523,465",$0.917523,"1,000,000,000 THETA *","$56,290,211",0.12%,13.08%,29.52%,
32,IOTA,MIOTA,"$916,521,284",$0.329740,"2,779,530,283 MIOTA *","$18,548,605",-0.18%,1.40%,12.72%,
33,yearn.finance,YFI,"$834,804,425","$27,856.50","29,968 YFI *","$384,994,804",1.00%,4.20%,10.99%,
34,Waves,WAVES,"$813,936,736",$7.84,"103,833,946 WAVES *","$90,515,806",-0.71%,-3.01%,-9.23%,
35,Huobi Token,HT,"$802,026,847",$4.04,"198,497,676 HT *","$61,717,858",-0.47%,-0.35%,1.65%,
36,Zcash,ZEC,"$798,472,121",$74.48,"10,720,619 ZEC","$427,730,302",0.19%,-1.00%,12.75%,
37,Binance USD,BUSD,"$798,512,159",$1.00,"798,272,677 BUSD *","$872,726,053",0.01%,0.03%,0.04%,
38,Ethereum Classic,ETC,"$750,670,353",$6.45,"116,313,299 ETC","$702,381,991",0.10%,-0.10%,7.85%,
39,Compound,COMP,"$699,473,680",$159.49,"4,385,749 COMP *","$223,298,890",0.26%,1.77%,5.63%,
40,Synthetix,SNX,"$698,044,045",$6.32,"110,519,345 SNX *","$168,793,601",0.86%,11.86%,40.70%,
41,Celsius,CEL,"$676,444,751",$2.83,"238,863,520 CEL *","$6,457,741",-0.76%,2.33%,25.73%,
42,Maker,MKR,"$575,035,453",$575.95,"998,404 MKR *","$44,316,395",0.45%,6.55%,9.89%,
43,Zilliqa,ZIL,"$524,185,977",$0.048683,"10,767,241,814 ZIL","$172,114,985",4.06%,18.95%,51.90%,
44,Dogecoin,DOGE,"$501,026,697",$0.003927,"127,581,817,778 DOGE","$101,575,402",0.70%,4.14%,23.60%,
45,Kusama,KSM,"$494,278,766",$58.36,"8,470,098 KSM *","$56,098,914",0.46%,3.79%,22.14%,
46,SushiSwap,SUSHI,"$482,314,553",$2.83,"170,540,897 SUSHI *","$190,688,695",-0.10%,5.86%,36.98%,
47,UMA,UMA,"$471,249,509",$8.49,"55,506,671 UMA *","$14,671,644",0.12%,2.18%,18.66%,
48,Ontology,ONT,"$465,855,920",$0.579037,"804,535,798 ONT *","$118,987,579",-0.25%,7.80%,16.49%,
49,FTX Token,FTT,"$463,199,624",$4.91,"94,346,958 FTT *","$5,925,434",-0.41%,0.82%,17.42%,
50,OMG Network,OMG,"$462,881,054",$3.30,"140,245,398 OMG *","$163,358,665",-0.86%,2.09%,4.11%,
51,Algorand,ALGO,"$437,049,871",$0.368579,"1,185,770,929 ALGO","$146,253,059",1.02%,11.20%,17.22%,
52,Decred,DCR,"$426,696,909",$34.46,"12,383,800 DCR","$40,088,108",-0.33%,9.54%,31.10%,
53,Nexo,NEXO,"$415,282,913",$0.741577,"560,000,011 NEXO *","$28,997,031",-0.94%,8.15%,43.38%,
54,The Graph,GRT,"$425,825,054",$0.341845,"1,245,666,867 GRT *","$1,520,320,780",7.80%,81.21%,0.00%,
55,Elrond,EGLD,"$380,116,718",$26.13,"14,548,352 EGLD *","$104,523,595",-1.54%,-0.70%,73.92%,
56,Basic Attention Token,BAT,"$378,424,359",$0.253624,"1,492,067,763 BAT *","$234,104,840",-0.45%,10.73%,19.47%,
57,OKB,OKB,"$357,861,883",$5.96,"60,000,000 OKB *","$90,012,582",-0.60%,0.04%,6.65%,
58,BitTorrent,BTT,"$333,717,581",$0.000337,"989,970,730,876 BTT *","$63,993,557",0.38%,2.83%,7.53%,
59,0x,ZRX,"$318,126,588",$0.424298,"749,772,094 ZRX *","$55,260,665",-0.42%,3.48%,13.25%,
60,renBTC,RENBTC,"$316,836,725","$22,858.54","13,861 RENBTC *","$4,238,888",-0.52%,0.27%,24.52%,
61,DigiByte,DGB,"$315,427,051",$0.022764,"13,856,325,478 DGB","$10,823,985",1.17%,8.31%,14.24%,
62,TrueUSD,TUSD,"$274,886,169",$0.999471,"275,031,537 TUSD *","$77,750,874",0.00%,-0.04%,-0.08%,
63,Qtum,QTUM,"$274,324,507",$2.81,"97,484,460 QTUM *","$334,552,395",0.14%,3.91%,15.16%,
64,Ren,REN,"$267,390,906",$0.302296,"884,532,525 REN *","$27,255,429",0.41%,4.51%,9.09%,
65,Avalanche,AVAX,"$264,281,831",$3.44,"76,937,055 AVAX *","$18,822,740",-0.55%,2.69%,0.12%,
66,ICON,ICX,"$253,754,108",$0.439500,"577,370,547 ICX *","$25,515,087",0.04%,6.62%,16.24%,
67,HUSD,HUSD,"$245,781,262",$0.999622,"245,874,148 HUSD *","$53,091,343",-0.03%,0.02%,-0.08%,
68,Paxos Standard,PAX,"$244,032,482",$0.996246,"244,951,954 PAX *","$181,937,024",-0.55%,-0.59%,-0.46%,
69,Hedera Hashgraph,HBAR,"$237,104,697",$0.036843,"6,435,508,272 HBAR *","$10,703,478",0.64%,4.56%,5.66%,
70,Ampleforth,AMPL,"$223,989,468",$0.952946,"235,049,498 AMPL *","$11,847,724",-2.08%,-4.40%,7.17%,
71,Blockstack,STX,"$217,322,804",$0.305300,"711,834,032 STX *","$2,373,851",0.77%,2.38%,4.58%,
72,ABBC Coin,ABBC,"$224,036,512",$0.268168,"835,434,760 ABBC","$45,235,930",2.56%,0.34%,4.02%,
73,Augur,REP,"$215,317,635",$19.57,"11,000,000 REP *","$193,925,262",5.48%,24.04%,27.20%,
74,Loopring,LRC,"$211,414,664",$0.175889,"1,201,979,710 LRC *","$14,966,022",-0.57%,2.25%,0.91%,
75,NEAR Protocol,NEAR,"$211,040,895",$1.07,"196,911,019 NEAR *","$8,822,203",2.63%,7.58%,17.42%,
76,Reserve Rights,RSR,"$207,703,330",$0.022214,"9,349,999,000 RSR *","$64,338,256",-0.19%,6.31%,17.70%,
77,HedgeTrade,HEDG,"$206,938,124",$0.610020,"339,231,468 HEDG *","$400,462",-0.73%,0.24%,6.47%,
78,Terra,LUNA,"$205,410,636",$0.535640,"383,486,046 LUNA *","$16,252,147",-0.06%,3.11%,11.88%,
79,Celo,CELO,"$204,702,212",$1.64,"124,447,717 CELO *","$1,212,185",0.46%,-1.12%,-1.07%,
80,Kyber Network,KNC,"$192,612,882",$0.958930,"200,862,212 KNC *","$37,044,481",1.00%,4.21%,6.18%,
81,Energy Web Token,EWT,"$189,910,733",$6.32,"30,062,138 EWT *","$917,471",-0.79%,-2.21%,5.59%,
82,Ocean Protocol,OCEAN,"$182,711,574",$0.436038,"419,026,837 OCEAN *","$26,578,371",-0.65%,-0.40%,9.56%,
83,Lisk,LSK,"$178,674,634",$1.41,"126,700,739 LSK *","$7,512,300",0.23%,9.19%,14.82%,
84,SwissBorg,CHSB,"$173,074,490",$0.186324,"928,890,379 CHSB *","$2,939,401",1.57%,8.18%,62.07%,
85,Bitcoin Gold,BTG,"$168,791,308",$9.64,"17,513,924 BTG","$13,486,689",-0.01%,2.06%,13.79%,
86,THORChain,RUNE,"$167,400,973",$1.06,"158,432,088 RUNE *","$10,953,616",-0.48%,2.95%,22.01%,
87,Siacoin,SC,"$165,316,114",$0.003658,"45,188,302,992 SC","$6,797,833",-0.28%,5.75%,15.75%,
88,Quant,QNT,"$162,240,980",$13.44,"12,072,738 QNT *","$3,702,127",-1.43%,2.70%,8.24%,
89,Nano,NANO,"$153,498,056",$1.15,"133,248,297 NANO *","$4,826,847",-0.18%,1.37%,17.04%,
90,TerraUSD,UST,"$150,165,937",$0.998094,"150,452,652 UST *","$3,675,274",0.49%,0.11%,-0.15%,
91,Band Protocol,BAND,"$143,311,494",$6.99,"20,494,033 BAND *","$98,921,333",0.88%,6.27%,9.61%,
92,MaidSafeCoin,MAID,"$142,279,823",$0.314394,"452,552,412 MAID *","$449,748",0.08%,12.51%,19.87%,
93,Decentraland,MANA,"$135,475,847",$0.091304,"1,483,782,348 MANA *","$19,734,257",-0.07%,5.14%,10.68%,
94,Enjin Coin,ENJ,"$133,019,947",$0.161603,"823,130,411 ENJ *","$9,877,492",-0.36%,2.90%,12.10%,
95,Bancor,BNT,"$131,442,225",$1.42,"92,520,057 BNT *","$78,217,410",-0.83%,1.19%,44.98%,
96,Status,SNT,"$129,992,158",$0.037456,"3,470,483,788 SNT *","$9,084,514",-0.81%,0.23%,13.03%,
97,Horizen,ZEN,"$129,524,055",$12.27,"10,559,575 ZEN","$7,677,454",-0.51%,0.27%,29.38%,
98,ZB Token,ZB,"$127,442,170",$0.275081,"463,288,810 ZB *","$9,735,397",0.09%,1.35%,7.51%,
99,Verge,XVG,"$124,509,457",$0.007589,"16,405,699,343 XVG","$1,653,484",-0.94%,5.92%,5.67%,
100,Aragon,ANT,"$124,050,323",$3.13,"39,609,523 ANT *","$12,197,007",-1.40%,-1.36%,5.13%,
101,Numeraire,NMR,"$120,515,174",$27.09,"4,448,233 NMR *","$7,984,199",-0.08%,0.03%,0.86%,
102,Ravencoin,RVN,"$112,418,585",$0.014559,"7,721,840,000 RVN","$8,339,538",-0.21%,6.15%,5.51%,
103,CyberVein,CVT,"$110,010,271",$0.103744,"1,060,404,496 CVT *","$6,903,954",-0.71%,-0.10%,-9.33%,
104,NXM,NXM,"$104,537,802",$18.02,"5,801,350 NXM *","$11,489,431",-1.22%,-20.05%,-9.14%,
105,Holo,HOT,"$101,573,100",$0.000608,"167,119,427,985 HOT *","$7,093,156",-1.37%,0.03%,11.04%,
106,Curve DAO Token,CRV,"$102,766,716",$0.661739,"155,297,961 CRV *","$28,892,072",0.35%,4.07%,12.89%,
107,Gnosis,GNO,"$102,233,197",$67.95,"1,504,589 GNO *","$106,352",-0.58%,-0.97%,13.14%,
108,IOST,IOST,"$101,636,424",$0.006632,"15,324,121,695 IOST *","$28,333,271",0.20%,3.19%,14.35%,
109,Bitcoin Diamond,BCD,"$102,064,216",$0.547282,"186,492,898 BCD","$2,936,177",0.03%,0.61%,6.68%,
110,Nervos Network,CKB,"$101,041,430",$0.004632,"21,811,800,163 CKB *","$5,257,973",0.89%,0.03%,9.89%,
111,MonaCoin,MONA,"$97,604,493",$1.48,"65,729,675 MONA","$5,273,317",0.18%,-2.16%,11.37%,
112,Matic Network,MATIC,"$97,919,339",$0.020406,"4,798,458,112 MATIC *","$14,136,789",-0.42%,5.82%,14.54%,
113,Balancer,BAL,"$96,319,599",$13.87,"6,943,831 BAL *","$74,390,272",-0.92%,2.16%,20.98%,
114,Orchid,OXT,"$93,104,499",$0.253287,"367,584,352 OXT *","$8,530,568",0.38%,-2.50%,-3.50%,
115,Keep3rV1,KP3R,"$91,764,313",$458.82,"200,001 KP3R *","$4,469,411",-0.75%,4.84%,18.87%,
116,Bytom,BTM,"$91,988,077",$0.065934,"1,395,161,819 BTM","$9,774,941",0.21%,1.08%,7.07%,
117,Helium,HNT,"$88,760,623",$1.43,"62,067,900 HNT","$1,170,023",-3.52%,4.77%,18.72%,
118,RSK Infrastructure Framework,RIF,"$87,352,270",$0.128890,"677,726,677 RIF *","$369,969",-1.75%,-1.08%,15.22%,
119,Golem,GNT,"$87,641,171",$0.123674,"708,646,451 GNT *","$3,394,526",-0.61%,9.49%,8.68%,
120,Theta Fuel,TFUEL,"$84,755,177",$0.017079,"4,962,631,792 TFUEL *","$8,872,634",-1.11%,5.29%,24.63%,
121,Storj,STORJ,"$84,035,702",$0.389273,"215,878,432 STORJ *","$25,460,576",-0.56%,10.91%,15.17%,
122,DxChain Token,DX,"$83,668,916",$0.001673,"50,000,000,000 DX *","$292,103",-0.32%,-2.86%,0.21%,
123,Chiliz,CHZ,"$83,764,000",$0.015427,"5,429,628,749 CHZ *","$26,526,460",0.17%,7.45%,23.44%,
124,iExec RLC,RLC,"$82,373,455",$1.03,"80,070,793 RLC *","$3,037,839",-0.80%,-0.42%,19.32%,
125,PAX Gold,PAXG,"$81,347,231","$1,891.79","43,000 PAXG *","$2,585,424",0.03%,-0.13%,3.42%,
126,Solana,SOL,"$80,028,872",$1.72,"46,569,948 SOL *","$7,765,020",-0.56%,2.66%,14.76%,
127,Kava.io,KAVA,"$79,459,007",$1.70,"46,876,230 KAVA *","$22,996,124",0.04%,7.11%,12.69%,
128,Komodo,KMD,"$76,811,571",$0.623367,"123,220,532 KMD","$22,113,884",-4.24%,14.56%,18.08%,
129,Arweave,AR,"$76,586,889",$2.29,"33,394,701 AR *","$1,804,875",0.00%,1.18%,-0.24%,
130,Swipe,SXP,"$75,306,547",$0.937034,"80,366,934 SXP *","$24,019,687",0.19%,2.34%,11.49%,
131,Steem,STEEM,"$75,545,522",$0.193682,"390,048,916 STEEM *","$14,760,794",-1.03%,9.38%,16.54%,
132,Oasis Network,ROSE,"$73,873,028",$0.049249,"1,500,000,000 ROSE *","$17,314,929",0.72%,5.34%,-0.43%,
133,Ardor,ARDR,"$74,391,537",$0.074466,"998,999,495 ARDR *","$10,209,972",-2.39%,9.16%,21.95%,
134,Wanchain,WAN,"$72,703,439",$0.430125,"169,028,581 WAN *","$7,218,726",0.32%,19.50%,27.13%,
135,The Midas Touch Gold,TMTG,"$71,718,898",$0.008703,"8,241,111,256 TMTG *","$3,018,417",0.32%,-0.34%,-5.80%,
136,Ankr,ANKR,"$70,330,706",$0.011111,"6,329,566,044 ANKR *","$78,381,845",-2.43%,-6.55%,33.86%,
137,BitShares,BTS,"$70,105,048",$0.023409,"2,994,810,000 BTS *","$5,318,609",-0.31%,3.79%,4.94%,
138,DFI.Money,YFII,"$68,381,739","$1,771.73","38,596 YFII *","$89,831,161",-0.18%,-0.69%,-0.34%,
139,Civic,CVC,"$68,301,412",$0.101942,"670,000,000 CVC *","$32,302,052",0.57%,8.67%,4.91%,
140,Unibright,UBT,"$67,335,904",$0.452526,"148,799,999 UBT *","$1,426,712",1.87%,-1.85%,-7.62%,
141,TomoChain,TOMO,"$65,837,350",$0.862175,"76,361,925 TOMO","$6,091,855",1.39%,10.12%,26.06%,
142,aelf,ELF,"$65,052,103",$0.119476,"544,480,200 ELF *","$20,882,468",-0.01%,4.90%,3.72%,
143,Syntropy,NOIA,"$64,967,480",$0.202142,"321,395,830 NOIA *","$2,051,983",3.78%,-15.69%,11.65%,
144,OriginTrail,TRAC,"$64,434,542",$0.189614,"339,819,587 TRAC *","$705,721",-8.81%,-3.76%,7.10%,
145,KuCoin Shares,KCS,"$64,180,537",$0.801069,"80,118,638 KCS *","$7,016,810",0.63%,1.11%,1.86%,
146,Kleros,PNK,"$63,091,830",$0.110456,"571,194,725 PNK *","$5,357,576",-0.28%,-1.26%,6.90%,
147,JUST,JST,"$62,882,792",$0.027820,"2,260,326,706 JST *","$78,890,576",0.44%,4.10%,7.26%,
148,Penta,PNT,"$63,263,904",$0.003011,"21,014,319,521 PNT *","$217,433",-0.90%,-2.86%,-2.18%,
149,Divi,DIVI,"$61,992,979",$0.030178,"2,054,256,332 DIVI","$338,132",0.19%,5.16%,-1.01%,
150,WAX,WAXP,"$62,059,748",$0.042812,"1,449,599,102 WAXP *","$5,005,679",-0.20%,8.85%,13.12%,
151,Serum,SRM,"$59,196,957",$1.18,"50,000,000 SRM *","$27,519,596",-0.03%,4.95%,11.51%,
152,Stratis,STRAX,"$58,940,918",$0.588971,"100,074,392 STRAX *","$1,175,118",1.01%,1.30%,8.85%,
153,Utrust,UTK,"$58,495,590",$0.129990,"450,000,000 UTK *","$3,485,479",-0.12%,3.27%,27.39%,
154,Energi,NRG,"$56,039,600",$1.55,"36,122,977 NRG","$1,929,242",-1.12%,1.96%,16.98%,
155,Hive,HIVE,"$55,866,187",$0.135037,"413,710,791 HIVE *","$6,111,835",-1.93%,6.72%,13.63%,
156,Ark,ARK,"$55,315,067",$0.439390,"125,890,555 ARK *","$15,255,145",-3.32%,14.71%,19.42%,
157,QuarkChain,QKC,"$53,945,336",$0.005607,"9,620,749,607 QKC *","$4,135,836",0.64%,4.30%,11.21%,
158,Electroneum,ETN,"$53,554,744",$0.005241,"10,218,744,867 ETN","$535,397",0.08%,2.78%,18.27%,
159,Kin,KIN,"$53,345,361",$0.000035,"1,518,114,145,968 KIN *","$372,535",0.05%,-1.29%,11.08%,
160,Fantom,FTM,"$52,298,268",$0.020549,"2,545,006,273 FTM *","$4,996,091",0.15%,2.93%,7.53%,
161,Velas,VLX,"$50,577,452",$0.024013,"2,106,296,362 VLX *","$1,659,247",1.01%,3.24%,-10.93%,
162,IRISnet,IRIS,"$48,131,689",$0.051768,"929,764,283 IRIS *","$1,623,661",-0.53%,0.53%,-5.26%,
163,Injective Protocol,INJ,"$48,105,306",$3.24,"14,848,790 INJ *","$27,427,255",0.50%,1.84%,51.19%,
164,Power Ledger,POWR,"$47,574,786",$0.112207,"423,992,467 POWR *","$22,294,098",-7.20%,14.76%,17.51%,
165,Fetch.ai,FET,"$47,078,990",$0.063099,"746,113,681 FET *","$5,472,310",-1.10%,9.71%,18.03%,
166,Pundi X,NPXS,"$46,587,698",$0.000199,"234,544,488,396 NPXS *","$5,987,040",-1.90%,2.66%,4.37%,
167,MCO,MCO,"$44,447,241",$2.81,"15,793,831 MCO *","$1,433,715",-1.30%,0.60%,5.50%,
168,Aeternity,AE,"$44,111,614",$0.134726,"327,417,392 AE","$6,926,568",2.39%,4.79%,3.50%,
169,Harmony,ONE,"$43,942,979",$0.005337,"8,234,250,415 ONE *","$5,914,283",0.46%,5.36%,8.98%,
170,Haven Protocol,XHV,"$43,717,169",$3.09,"14,152,651 XHV *","$548,549",4.51%,-9.92%,27.43%,
171,DIA,DIA,"$43,469,345",$1.54,"28,271,916 DIA *","$9,889,510",0.33%,4.85%,7.96%,
172,SingularityNET,AGI,"$43,635,028",$0.051173,"852,691,753 AGI *","$488,124",-0.91%,9.34%,11.87%,
173,Firo,XZC,"$42,704,682",$3.77,"11,333,756 XZC","$2,850,051",0.58%,2.46%,11.90%,
174,Alpha Finance Lab,ALPHA,"$42,279,917",$0.242798,"174,136,442 ALPHA *","$20,799,752",-1.18%,1.89%,25.87%,
175,SUN,SUN,"$41,991,968",$9.13,"4,597,973 SUN *","$56,094,440",-0.33%,0.42%,-1.87%,
176,TrustSwap,SWAP,"$41,388,943",$0.589968,"70,154,512 SWAP *","$858,474",-1.38%,-2.19%,59.23%,
177,IoTeX,IOTX,"$41,497,496",$0.007237,"5,734,304,441 IOTX *","$7,281,217",-1.30%,1.72%,0.17%,
178,Polymath,POLY,"$40,645,314",$0.073811,"550,670,901 POLY *","$8,407,592",1.11%,16.84%,18.34%,
179,Aion,AION,"$39,925,480",$0.081899,"487,496,874 AION","$2,467,125",-1.22%,-1.94%,8.12%,
180,Tellor,TRB,"$39,671,879",$24.68,"1,607,174 TRB","$25,622,161",-0.94%,-0.91%,6.80%,
181,HyperCash,HC,"$39,535,529",$0.879729,"44,940,562 HC","$7,196,532",-1.02%,-0.72%,3.01%,
182,xDai,STAKE,"$39,409,648",$11.15,"3,535,188 STAKE *","$1,416,651",-0.45%,-3.28%,7.84%,
183,SOLVE,SOLVE,"$39,270,106",$0.104539,"375,651,077 SOLVE *","$2,046,882",-1.66%,9.38%,11.09%,
184,Groestlcoin,GRS,"$38,811,021",$0.507046,"76,543,444 GRS","$279,371,022",-10.50%,137.01%,147.16%,
185,Melon,MLN,"$38,244,671",$36.87,"1,037,389 MLN *","$2,691,255",0.10%,10.17%,17.38%,
186,Syscoin,SYS,"$38,130,184",$0.063289,"602,481,951 SYS","$1,752,941",-0.66%,-0.77%,4.96%,
187,STASIS EURO,EURS,"$38,031,272",$1.19,"31,979,207 EURS *","$1,725,768",0.00%,0.37%,1.76%,
188,Grin,GRIN,"$37,171,930",$0.614150,"60,525,780 GRIN","$17,755,706",-0.41%,8.08%,89.47%,
189,ReddCoin,RDD,"$36,712,630",$0.001274,"28,808,713,174 RDD *","$84,751",8.76%,32.15%,32.59%,
190,AdEx Network,ADX,"$36,237,280",$0.336340,"107,740,039 ADX *","$57,402,844",-12.25%,29.29%,31.46%,
191,Ultra,UOS,"$36,012,752",$0.127474,"282,510,906 UOS *","$551,132",-0.14%,-2.58%,-10.75%,
192,COTI,COTI,"$35,791,694",$0.063010,"568,032,883 COTI *","$21,649,607",-0.80%,13.17%,37.16%,
193,MVL,MVL,"$35,781,942",$0.003372,"10,611,606,313 MVL *","$17,624,148",3.35%,4.65%,6.80%,
194,WaykiChain,WICC,"$35,483,585",$0.187744,"189,000,000 WICC *","$6,976,316",-0.26%,2.67%,1.76%,
195,Travala.com,AVA,"$34,911,318",$0.833030,"41,908,857 AVA *","$1,266,368",-0.51%,4.41%,10.68%,
196,Zap,ZAP,"$34,923,968",$0.147892,"236,144,465 ZAP *","$1,586,947",0.38%,1.52%,13.90%,
197,ShareToken,SHR,"$34,388,516",$0.016575,"2,074,700,255 SHR *","$2,479,984",0.12%,-1.48%,-11.50%,
198,bZx Protocol,BZRX,"$34,351,700",$0.244305,"140,610,067 BZRX *","$8,555,734",0.52%,8.63%,14.59%,
199,Switcheo,SWTH,"$34,180,339",$0.030529,"1,119,617,228 SWTH *","$296,251",-0.19%,1.60%,-1.79%,
200,VIDT Datalink,VIDT,"$34,202,383",$0.691959,"49,428,303 VIDT *","$3,941,332",-1.34%,-10.39%,2.21%,
